X,Y,OBJECTID,Geocodigo,Municipio,Municipio_ou_referencia_arranjo,Polos_de_Alta_Complexidade,Polos_Baixa_media_complexidade
-63.033808,-9.91196399967962,1,1100023,ARIQUEMES,ARIQUEMES,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-61.451156,-11.4355779996328,2,1100049,CACOAL,CACOAL,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-60.820296,-13.1886309995803,3,1100056,CEREJEIRAS,CEREJEIRAS,,polo de baixa e media complexidade de serviços de saúde
-62.472108,-10.4322819996634,4,1100114,JARU,JARU,,polo de baixa e media complexidade de serviços de saúde
-61.957458,-10.8768169996498,5,1100122,JI-PARANA,JI-PARANA,,polo de baixa e media complexidade de serviços de saúde
-62.257167,-10.7215279996546,6,1100155,OURO PRETO DO OESTE,OURO PRETO DO OESTE,,polo de baixa e media complexidade de serviços de saúde
-63.909466,-8.76615399971543,7,1100205,PORTO VELHO,PORTO VELHO,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-61.773242,-11.7199669996242,8,1100288,ROLIM DE MOURA,ROLIM DE MOURA,,polo de baixa e media complexidade de serviços de saúde
-60.134778,-12.7351259995937,9,1100304,VILHENA,VILHENA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-68.749991,-11.0153619996456,10,1200104,BRASILEIA,BRASILEIA,,polo de baixa e media complexidade de serviços de saúde
-72.666458,-7.63439699975112,11,1200203,CRUZEIRO DO SUL,CRUZEIRO DO SUL,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-67.810095,-9.97240399967767,12,1200401,RIO BRANCO,RIO BRANCO,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-67.739057,-10.1522419996721,13,1200450,SENADOR GUIOMARD,SENADOR GUIOMARD,,polo de baixa e media complexidade de serviços de saúde
-63.142031,-4.08564199986572,14,1301209,COARI,COARI,,polo de baixa e media complexidade de serviços de saúde
-69.865006,-6.66778599978206,15,1301407,EIRUNEPE,EIRUNEPE,,polo de baixa e media complexidade de serviços de saúde
-58.447392,-3.14599199989644,16,1301902,ITACOATIARA,ITACOATIARA,,polo de baixa e media complexidade de serviços de saúde
-60.621286,-3.30048899989142,17,1302504,MANACAPURU,MANACAPURU,,polo de baixa e media complexidade de serviços de saúde
-60.025533,-3.13624399989675,18,1302603,MANAUS,MANAUS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-65.591256,-1.86035799993871,19,1302801,MARAA,MARAA,,polo de baixa e media complexidade de serviços de saúde
-56.779403,-2.18601699992791,20,1303007,NHAMUNDA,NHAMUNDA,,subpolo de baixa e media complexidade de serviços de saúde
